fips,name,state,Name
1001,Autauga County,AL,ALABAMA
1003,Baldwin County,AL,ALABAMA
1005,Barbour County,AL,ALABAMA
1007,Bibb County,AL,ALABAMA
1009,Blount County,AL,ALABAMA
1011,Bullock County,AL,ALABAMA
1013,Butler County,AL,ALABAMA
1015,Calhoun County,AL,ALABAMA
1017,Chambers County,AL,ALABAMA
1019,Cherokee County,AL,ALABAMA
1021,Chilton County,AL,ALABAMA
1023,Choctaw County,AL,ALABAMA
1025,Clarke County,AL,ALABAMA
1027,Clay County,AL,ALABAMA
1029,Cleburne County,AL,ALABAMA
1031,Coffee County,AL,ALABAMA
1033,Colbert County,AL,ALABAMA
1035,Conecuh County,AL,ALABAMA
1037,Coosa County,AL,ALABAMA
1039,Covington County,AL,ALABAMA
1041,Crenshaw County,AL,ALABAMA
1043,Cullman County,AL,ALABAMA
1045,Dale County,AL,ALABAMA
1047,Dallas County,AL,ALABAMA
1049,DeKalb County,AL,ALABAMA
1051,Elmore County,AL,ALABAMA
1053,Escambia County,AL,ALABAMA
1055,Etowah County,AL,ALABAMA
1057,Fayette County,AL,ALABAMA
1059,Franklin County,AL,ALABAMA
1061,Geneva County,AL,ALABAMA
1063,Greene County,AL,ALABAMA
1065,Hale County,AL,ALABAMA
1067,Henry County,AL,ALABAMA
1069,Houston County,AL,ALABAMA
1071,Jackson County,AL,ALABAMA
1073,Jefferson County,AL,ALABAMA
1075,Lamar County,AL,ALABAMA
1077,Lauderdale County,AL,ALABAMA
1079,Lawrence County,AL,ALABAMA
1081,Lee County,AL,ALABAMA
1083,Limestone County,AL,ALABAMA
1085,Lowndes County,AL,ALABAMA
1087,Macon County,AL,ALABAMA
1089,Madison County,AL,ALABAMA
1091,Marengo County,AL,ALABAMA
1093,Marion County,AL,ALABAMA
1095,Marshall County,AL,ALABAMA
1097,Mobile County,AL,ALABAMA
1099,Monroe County,AL,ALABAMA
1101,Montgomery County,AL,ALABAMA
1103,Morgan County,AL,ALABAMA
1105,Perry County,AL,ALABAMA
1107,Pickens County,AL,ALABAMA
1109,Pike County,AL,ALABAMA
1111,Randolph County,AL,ALABAMA
1113,Russell County,AL,ALABAMA
1115,St. Clair County,AL,ALABAMA
1117,Shelby County,AL,ALABAMA
1119,Sumter County,AL,ALABAMA
1121,Talladega County,AL,ALABAMA
1123,Tallapoosa County,AL,ALABAMA
1125,Tuscaloosa County,AL,ALABAMA
1127,Walker County,AL,ALABAMA
1129,Washington County,AL,ALABAMA
1131,Wilcox County,AL,ALABAMA
1133,Winston County,AL,ALABAMA
2013,Aleutians East Borough,AK,ALASKA
2016,Aleutians West Census Area,AK,ALASKA
2020,Anchorage Municipality,AK,ALASKA
2050,Bethel Census Area,AK,ALASKA
2060,Bristol Bay Borough,AK,ALASKA
2068,Denali Borough,AK,ALASKA
2070,Dillingham Census Area,AK,ALASKA
2090,Fairbanks North Star Borough,AK,ALASKA
2100,Haines Borough,AK,ALASKA
2105,Hoonah-Angoon Census Area,AK,ALASKA
2110,Juneau City and Borough,AK,ALASKA
2122,Kenai Peninsula Borough,AK,ALASKA
2130,Ketchikan Gateway Borough,AK,ALASKA
2150,Kodiak Island Borough,AK,ALASKA
2164,Lake and Peninsula Borough,AK,ALASKA
2170,Matanuska-Susitna Borough,AK,ALASKA
2180,Nome Census Area,AK,ALASKA
2185,North Slope Borough,AK,ALASKA
2188,Northwest Arctic Borough,AK,ALASKA
2195,Petersburg Borough,AK,ALASKA
2198,Prince of Wales-Hyder Census Area,AK,ALASKA
2220,Sitka City and Borough,AK,ALASKA
2230,Skagway Municipality,AK,ALASKA
2240,Southeast Fairbanks Census Area,AK,ALASKA
2261,Valdez-Cordova Census Area,AK,ALASKA
2270,Wade Hampton Census Area,AK,ALASKA
2275,Wrangell City and Borough,AK,ALASKA
2282,Yakutat City and Borough,AK,ALASKA
2290,Yukon-Koyukuk Census Area,AK,ALASKA
4001,Apache County,AZ,ARIZONA
4003,Cochise County,AZ,ARIZONA
4005,Coconino County,AZ,ARIZONA
4007,Gila County,AZ,ARIZONA
4009,Graham County,AZ,ARIZONA
4011,Greenlee County,AZ,ARIZONA
4012,La Paz County,AZ,ARIZONA
4013,Maricopa County,AZ,ARIZONA
4015,Mohave County,AZ,ARIZONA
4017,Navajo County,AZ,ARIZONA
4019,Pima County,AZ,ARIZONA
4021,Pinal County,AZ,ARIZONA
4023,Santa Cruz County,AZ,ARIZONA
4025,Yavapai County,AZ,ARIZONA
4027,Yuma County,AZ,ARIZONA
5001,Arkansas County,AR,ARKANSAS
5003,Ashley County,AR,ARKANSAS
5005,Baxter County,AR,ARKANSAS
5007,Benton County,AR,ARKANSAS
5009,Boone County,AR,ARKANSAS
5011,Bradley County,AR,ARKANSAS
5013,Calhoun County,AR,ARKANSAS
5015,Carroll County,AR,ARKANSAS
5017,Chicot County,AR,ARKANSAS
5019,Clark County,AR,ARKANSAS
5021,Clay County,AR,ARKANSAS
5023,Cleburne County,AR,ARKANSAS
5025,Cleveland County,AR,ARKANSAS
5027,Columbia County,AR,ARKANSAS
5029,Conway County,AR,ARKANSAS
5031,Craighead County,AR,ARKANSAS
5033,Crawford County,AR,ARKANSAS
5035,Crittenden County,AR,ARKANSAS
5037,Cross County,AR,ARKANSAS
5039,Dallas County,AR,ARKANSAS
5041,Desha County,AR,ARKANSAS
5043,Drew County,AR,ARKANSAS
5045,Faulkner County,AR,ARKANSAS
5047,Franklin County,AR,ARKANSAS
5049,Fulton County,AR,ARKANSAS
5051,Garland County,AR,ARKANSAS
5053,Grant County,AR,ARKANSAS
5055,Greene County,AR,ARKANSAS
5057,Hempstead County,AR,ARKANSAS
5059,Hot Spring County,AR,ARKANSAS
5061,Howard County,AR,ARKANSAS
5063,Independence County,AR,ARKANSAS
5065,Izard County,AR,ARKANSAS
5067,Jackson County,AR,ARKANSAS
5069,Jefferson County,AR,ARKANSAS
5071,Johnson County,AR,ARKANSAS
5073,Lafayette County,AR,ARKANSAS
5075,Lawrence County,AR,ARKANSAS
5077,Lee County,AR,ARKANSAS
5079,Lincoln County,AR,ARKANSAS
5081,Little River County,AR,ARKANSAS
5083,Logan County,AR,ARKANSAS
5085,Lonoke County,AR,ARKANSAS
5087,Madison County,AR,ARKANSAS
5089,Marion County,AR,ARKANSAS
5091,Miller County,AR,ARKANSAS
5093,Mississippi County,AR,ARKANSAS
5095,Monroe County,AR,ARKANSAS
5097,Montgomery County,AR,ARKANSAS
5099,Nevada County,AR,ARKANSAS
5101,Newton County,AR,ARKANSAS
5103,Ouachita County,AR,ARKANSAS
5105,Perry County,AR,ARKANSAS
5107,Phillips County,AR,ARKANSAS
5109,Pike County,AR,ARKANSAS
5111,Poinsett County,AR,ARKANSAS
5113,Polk County,AR,ARKANSAS
5115,Pope County,AR,ARKANSAS
5117,Prairie County,AR,ARKANSAS
5119,Pulaski County,AR,ARKANSAS
5121,Randolph County,AR,ARKANSAS
5123,St. Francis County,AR,ARKANSAS
5125,Saline County,AR,ARKANSAS
5127,Scott County,AR,ARKANSAS
5129,Searcy County,AR,ARKANSAS
5131,Sebastian County,AR,ARKANSAS
5133,Sevier County,AR,ARKANSAS
5135,Sharp County,AR,ARKANSAS
5137,Stone County,AR,ARKANSAS
5139,Union County,AR,ARKANSAS
5141,Van Buren County,AR,ARKANSAS
5143,Washington County,AR,ARKANSAS
5145,White County,AR,ARKANSAS
5147,Woodruff County,AR,ARKANSAS
5149,Yell County,AR,ARKANSAS
6001,Alameda County,CA,CALIFORNIA
6003,Alpine County,CA,CALIFORNIA
6005,Amador County,CA,CALIFORNIA
6007,Butte County,CA,CALIFORNIA
6009,Calaveras County,CA,CALIFORNIA
6011,Colusa County,CA,CALIFORNIA
6013,Contra Costa County,CA,CALIFORNIA
6015,Del Norte County,CA,CALIFORNIA
6017,El Dorado County,CA,CALIFORNIA
6019,Fresno County,CA,CALIFORNIA
6021,Glenn County,CA,CALIFORNIA
6023,Humboldt County,CA,CALIFORNIA
6025,Imperial County,CA,CALIFORNIA
6027,Inyo County,CA,CALIFORNIA
6029,Kern County,CA,CALIFORNIA
6031,Kings County,CA,CALIFORNIA
6033,Lake County,CA,CALIFORNIA
6035,Lassen County,CA,CALIFORNIA
6037,Los Angeles County,CA,CALIFORNIA
6039,Madera County,CA,CALIFORNIA
6041,Marin County,CA,CALIFORNIA
6043,Mariposa County,CA,CALIFORNIA
6045,Mendocino County,CA,CALIFORNIA
6047,Merced County,CA,CALIFORNIA
6049,Modoc County,CA,CALIFORNIA
6051,Mono County,CA,CALIFORNIA
6053,Monterey County,CA,CALIFORNIA
6055,Napa County,CA,CALIFORNIA
6057,Nevada County,CA,CALIFORNIA
6059,Orange County,CA,CALIFORNIA
6061,Placer County,CA,CALIFORNIA
6063,Plumas County,CA,CALIFORNIA
6065,Riverside County,CA,CALIFORNIA
6067,Sacramento County,CA,CALIFORNIA
6069,San Benito County,CA,CALIFORNIA
6071,San Bernardino County,CA,CALIFORNIA
6073,San Diego County,CA,CALIFORNIA
6075,San Francisco County,CA,CALIFORNIA
6077,San Joaquin County,CA,CALIFORNIA
6079,San Luis Obispo County,CA,CALIFORNIA
6081,San Mateo County,CA,CALIFORNIA
6083,Santa Barbara County,CA,CALIFORNIA
6085,Santa Clara County,CA,CALIFORNIA
6087,Santa Cruz County,CA,CALIFORNIA
6089,Shasta County,CA,CALIFORNIA
6091,Sierra County,CA,CALIFORNIA
6093,Siskiyou County,CA,CALIFORNIA
6095,Solano County,CA,CALIFORNIA
6097,Sonoma County,CA,CALIFORNIA
6099,Stanislaus County,CA,CALIFORNIA
6101,Sutter County,CA,CALIFORNIA
6103,Tehama County,CA,CALIFORNIA
6105,Trinity County,CA,CALIFORNIA
6107,Tulare County,CA,CALIFORNIA
6109,Tuolumne County,CA,CALIFORNIA
6111,Ventura County,CA,CALIFORNIA
6113,Yolo County,CA,CALIFORNIA
6115,Yuba County,CA,CALIFORNIA
8001,Adams County,CO,COLORADO
8003,Alamosa County,CO,COLORADO
8005,Arapahoe County,CO,COLORADO
8007,Archuleta County,CO,COLORADO
8009,Baca County,CO,COLORADO
8011,Bent County,CO,COLORADO
8013,Boulder County,CO,COLORADO
8014,Broomfield County,CO,COLORADO
8015,Chaffee County,CO,COLORADO
8017,Cheyenne County,CO,COLORADO
8019,Clear Creek County,CO,COLORADO
8021,Conejos County,CO,COLORADO
8023,Costilla County,CO,COLORADO
8025,Crowley County,CO,COLORADO
8027,Custer County,CO,COLORADO
8029,Delta County,CO,COLORADO
8031,Denver County,CO,COLORADO
8033,Dolores County,CO,COLORADO
8035,Douglas County,CO,COLORADO
8037,Eagle County,CO,COLORADO
8039,Elbert County,CO,COLORADO
8041,El Paso County,CO,COLORADO
8043,Fremont County,CO,COLORADO
8045,Garfield County,CO,COLORADO
8047,Gilpin County,CO,COLORADO
8049,Grand County,CO,COLORADO
8051,Gunnison County,CO,COLORADO
8053,Hinsdale County,CO,COLORADO
8055,Huerfano County,CO,COLORADO
8057,Jackson County,CO,COLORADO
8059,Jefferson County,CO,COLORADO
8061,Kiowa County,CO,COLORADO
8063,Kit Carson County,CO,COLORADO
8065,Lake County,CO,COLORADO
8067,La Plata County,CO,COLORADO
8069,Larimer County,CO,COLORADO
8071,Las Animas County,CO,COLORADO
8073,Lincoln County,CO,COLORADO
8075,Logan County,CO,COLORADO
8077,Mesa County,CO,COLORADO
8079,Mineral County,CO,COLORADO
8081,Moffat County,CO,COLORADO
8083,Montezuma County,CO,COLORADO
8085,Montrose County,CO,COLORADO
8087,Morgan County,CO,COLORADO
8089,Otero County,CO,COLORADO
8091,Ouray County,CO,COLORADO
8093,Park County,CO,COLORADO
8095,Phillips County,CO,COLORADO
8097,Pitkin County,CO,COLORADO
8099,Prowers County,CO,COLORADO
8101,Pueblo County,CO,COLORADO
8103,Rio Blanco County,CO,COLORADO
8105,Rio Grande County,CO,COLORADO
8107,Routt County,CO,COLORADO
8109,Saguache County,CO,COLORADO
8111,San Juan County,CO,COLORADO
8113,San Miguel County,CO,COLORADO
8115,Sedgwick County,CO,COLORADO
8117,Summit County,CO,COLORADO
8119,Teller County,CO,COLORADO
8121,Washington County,CO,COLORADO
8123,Weld County,CO,COLORADO
8125,Yuma County,CO,COLORADO
9001,Fairfield County,CT,CONNECTICUT
9003,Hartford County,CT,CONNECTICUT
9005,Litchfield County,CT,CONNECTICUT
9007,Middlesex County,CT,CONNECTICUT
9009,New Haven County,CT,CONNECTICUT
9011,New London County,CT,CONNECTICUT
9013,Tolland County,CT,CONNECTICUT
9015,Windham County,CT,CONNECTICUT
10001,Kent County,DE,DELAWARE
10003,New Castle County,DE,DELAWARE
10005,Sussex County,DE,DELAWARE
11001,District of Columbia,DC,DISTRICT OF COLUMBIA
12001,Alachua County,FL,FLORIDA
12003,Baker County,FL,FLORIDA
12005,Bay County,FL,FLORIDA
12007,Bradford County,FL,FLORIDA
12009,Brevard County,FL,FLORIDA
12011,Broward County,FL,FLORIDA
12013,Calhoun County,FL,FLORIDA
12015,Charlotte County,FL,FLORIDA
12017,Citrus County,FL,FLORIDA
12019,Clay County,FL,FLORIDA
